,Factor,View,Group,R2
80,Factor2,hC30_NKT-FCGR3A,single_group,1.0494898379245
81,Factor2,hC32_gdT-TRDV2,single_group,17.464454738025047
82,Factor2,hC35_cDC1-CLEC9A,single_group,0.05845975743330456
83,Factor2,hC37_cDC2-CD1C,single_group,11.04000514919945
84,Factor2,hC38_cDC2-C1QC,single_group,21.000509966518642
85,Factor2,hC39_cDC2-FCN1,single_group,9.107164417998526
86,Factor2,hC40_cDC2-TIMP1,single_group,4.746386819574755
87,Factor2,hC41_cDC2-CD3E,single_group,6.893897159526096
88,Factor2,hC42_pDC-LILRA4,single_group,8.799424944581036
89,Factor2,hC46_Mono-CD14|FCGR3A,single_group,17.932205584937034
90,Factor2,hC48_Mph-FCN1,single_group,4.967153142467251
91,Factor2,hC49_Mph-NLRP3,single_group,3.7718883004387305
92,Factor2,hC50_Mph-IL1B,single_group,13.192771593336083
93,Factor2,hC53_Mph-C1QC,single_group,3.082194478704048
94,Factor2,hC54_Mph-SPP1,single_group,5.904799867490196
95,Factor2,hC56_Mph-CD3E,single_group,5.366315222138041
96,Factor2,hC57_Mast-CPA3,single_group,4.282582309976002
97,Factor2,hC58_ILC3-KIT,single_group,7.3845413275212435
98,Factor2,hC59_NK-FCGR3A,single_group,0.17569523080471772
99,Factor2,hC61_NK-FCGR3A|IFNG,single_group,3.7475281828700524
100,Factor2,hC62_NK-DUSP4,single_group,19.21264178161872
101,Factor2,hC63_NK-CD160,single_group,0.023076058111926034
102,Factor2,hC64_NK-CD160|IFNG,single_group,3.9467823442466354
103,Factor2,hC67_NK-IL7R,single_group,5.07929059303237
104,Factor2,hC68_B-CD79B,single_group,3.7323336084371106
105,Factor2,hC69_B-CD55,single_group,23.346900399247914
106,Factor2,hC70_B-GPR183,single_group,5.4620315274959585
107,Factor2,hC71_B-HSPA1A,single_group,3.332781078858471
108,Factor2,hC72_B-IGLC3,single_group,5.586302775707064
109,Factor2,hC74_B-MKI67,single_group,2.5540250075507864
110,Factor2,hC75_B-CD3E,single_group,6.796438661874871
111,Factor2,hC76_plasmaB-IGHA1,single_group,15.588807479072408
112,Factor2,hC77_plasmaB-IGHA1|IGLC2,single_group,7.7044768657417055
113,Factor2,hC78_plasmaB-IGHG1,single_group,25.55356944867463
114,Factor3,CD3D-CD4+,single_group,7.197506395678355
115,Factor3,CD45-,single_group,3.685519127106418
116,Factor3,hC04_CD8_Temra-CX3CR1|RGS1,single_group,6.763653504134037
117,Factor3,hC05_CD8_Tem-GZMK,single_group,6.4490876744618175
118,Factor3,hC06_CD8_Tem-CXCR5,single_group,12.125586356395646
119,Factor3,hC07_CD8_IEL-CD160,single_group,8.223247436040248
120,Factor3,hC08_CD8_Trm-CD6,single_group,6.023293483638536
121,Factor3,hC10_CD8_Trm-KLRB1,single_group,9.662176463921057
122,Factor3,hC11_CD8_Tex-LAYN,single_group,3.4746739632945056
123,Factor3,hC12_CD8-HSPA1A,single_group,6.645123525909868
124,Factor3,hC14_CD8_MAIT-SLC4A10,single_group,6.28704423219526
125,Factor3,hC15_CD4_Tn-CCR7,single_group,0.576876795368586
126,Factor3,hC16_CD4_Tcm-ANXA1,single_group,9.309185045114642
127,Factor3,hC18_CD4_Temra-GNLY|RGS1,single_group,10.880603790379496
128,Factor3,hC19_CD4_Tn-TCF7,single_group,7.082929691864848
129,Factor3,hC20_CD4_Tfh-CXCR5,single_group,10.164224720539627
130,Factor3,hC21_CD4_Tem-GZMK,single_group,15.856499794612422
131,Factor3,hC22_CD4_Trm-CXCR6,single_group,11.1055401164055
132,Factor3,hC24_CD4_Th1-CXCL13,single_group,3.902031262950234
133,Factor3,hC26_CD4_Tfr-IL10,single_group,7.079210353323284
134,Factor3,hC27_CD4_Treg-CTLA4,single_group,6.090278694204354
135,Factor3,hC28_CD4_HSPA1A,single_group,8.78200818906516
136,Factor3,hC29_CD4_MKI67,single_group,10.09957900058317
137,Factor3,hC30_NKT-FCGR3A,single_group,6.66930827898512
138,Factor3,hC32_gdT-TRDV2,single_group,5.011152779630235
139,Factor3,hC35_cDC1-CLEC9A,single_group,3.4773892646616122
140,Factor3,hC37_cDC2-CD1C,single_group,2.343572627091406
141,Factor3,hC38_cDC2-C1QC,single_group,2.3592533890460343
142,Factor3,hC39_cDC2-FCN1,single_group,2.62784154667951
143,Factor3,hC40_cDC2-TIMP1,single_group,3.572051996422254
144,Factor3,hC41_cDC2-CD3E,single_group,8.593423445882209
145,Factor3,hC42_pDC-LILRA4,single_group,4.326274688548592
146,Factor3,hC46_Mono-CD14|FCGR3A,single_group,0.9906694208908107
147,Factor3,hC48_Mph-FCN1,single_group,3.327361388265393
148,Factor3,hC49_Mph-NLRP3,single_group,1.8207270549115084
149,Factor3,hC50_Mph-IL1B,single_group,0.9247618615615072
150,Factor3,hC53_Mph-C1QC,single_group,5.165355821701767
151,Factor3,hC54_Mph-SPP1,single_group,0.08432614978947095
152,Factor3,hC56_Mph-CD3E,single_group,4.137245546792179
153,Factor3,hC57_Mast-CPA3,single_group,3.909716236028782
154,Factor3,hC58_ILC3-KIT,single_group,6.742725346103018
155,Factor3,hC59_NK-FCGR3A,single_group,4.13688562502339
156,Factor3,hC61_NK-FCGR3A|IFNG,single_group,7.031465311706908
157,Factor3,hC62_NK-DUSP4,single_group,2.773751084876064
158,Factor3,hC63_NK-CD160,single_group,10.112838350679299
159,Factor3,hC64_NK-CD160|IFNG,single_group,8.204818536886782
160,Factor3,hC67_NK-IL7R,single_group,6.002191851816607
161,Factor3,hC68_B-CD79B,single_group,7.733246522901349
162,Factor3,hC69_B-CD55,single_group,5.074750116808713
163,Factor3,hC70_B-GPR183,single_group,7.856685633757499
164,Factor3,hC71_B-HSPA1A,single_group,8.86065022977478
165,Factor3,hC72_B-IGLC3,single_group,1.9555613162545837
166,Factor3,hC74_B-MKI67,single_group,1.845097479574831
167,Factor3,hC75_B-CD3E,single_group,9.099970269027292
168,Factor3,hC76_plasmaB-IGHA1,single_group,2.382077157435758
169,Factor3,hC77_plasmaB-IGHA1|IGLC2,single_group,5.884933558733452
170,Factor3,hC78_plasmaB-IGHG1,single_group,2.5770184423133613
171,Factor4,CD3D-CD4+,single_group,2.1833795516832177
172,Factor4,CD45-,single_group,0.4823721680746407
173,Factor4,hC04_CD8_Temra-CX3CR1|RGS1,single_group,2.8161251780950636
174,Factor4,hC05_CD8_Tem-GZMK,single_group,3.9005533677935023
175,Factor4,hC06_CD8_Tem-CXCR5,single_group,4.4805575300092215
176,Factor4,hC07_CD8_IEL-CD160,single_group,0.5405021802707966
177,Factor4,hC08_CD8_Trm-CD6,single_group,0.922397740345815
178,Factor4,hC10_CD8_Trm-KLRB1,single_group,1.1821782578922746
179,Factor4,hC11_CD8_Tex-LAYN,single_group,2.2289831195708376
180,Factor4,hC12_CD8-HSPA1A,single_group,3.3406002617158093
181,Factor4,hC14_CD8_MAIT-SLC4A10,single_group,3.9068476585490286
182,Factor4,hC15_CD4_Tn-CCR7,single_group,0.1463451408599492
183,Factor4,hC16_CD4_Tcm-ANXA1,single_group,6.853714311939873
184,Factor4,hC18_CD4_Temra-GNLY|RGS1,single_group,8.427607278915595
185,Factor4,hC19_CD4_Tn-TCF7,single_group,1.054161417048538
186,Factor4,hC20_CD4_Tfh-CXCR5,single_group,0.1442616722426182
187,Factor4,hC21_CD4_Tem-GZMK,single_group,1.6305626130521111
188,Factor4,hC22_CD4_Trm-CXCR6,single_group,3.0225436398163996
189,Factor4,hC24_CD4_Th1-CXCL13,single_group,0.6273926768070037
190,Factor4,hC26_CD4_Tfr-IL10,single_group,3.4836372463142307
191,Factor4,hC27_CD4_Treg-CTLA4,single_group,2.176924090346488
192,Factor4,hC28_CD4_HSPA1A,single_group,5.932084194486231
193,Factor4,hC29_CD4_MKI67,single_group,10.156463789191827
194,Factor4,hC30_NKT-FCGR3A,single_group,2.5264817003683104
195,Factor4,hC32_gdT-TRDV2,single_group,1.6261062747067956
196,Factor4,hC35_cDC1-CLEC9A,single_group,7.394943827546352
197,Factor4,hC37_cDC2-CD1C,single_group,6.7686249461392345
198,Factor4,hC38_cDC2-C1QC,single_group,8.012887976406603
199,Factor4,hC39_cDC2-FCN1,single_group,6.0646404143601895
200,Factor4,hC40_cDC2-TIMP1,single_group,29.684063571387455
201,Factor4,hC41_cDC2-CD3E,single_group,5.592199799148445
202,Factor4,hC42_pDC-LILRA4,single_group,2.2875981702325188
203,Factor4,hC46_Mono-CD14|FCGR3A,single_group,1.5276001616728263
204,Factor4,hC48_Mph-FCN1,single_group,5.790122370548289
205,Factor4,hC49_Mph-NLRP3,single_group,4.330236664539077
206,Factor4,hC50_Mph-IL1B,single_group,8.406170539978275
207,Factor4,hC53_Mph-C1QC,single_group,7.681548776989988
208,Factor4,hC54_Mph-SPP1,single_group,3.9461954417363554
209,Factor4,hC56_Mph-CD3E,single_group,4.948556980140695
210,Factor4,hC57_Mast-CPA3,single_group,1.457952759564518
211,Factor4,hC58_ILC3-KIT,single_group,9.339227163223152
212,Factor4,hC59_NK-FCGR3A,single_group,0.2640846510318928
213,Factor4,hC61_NK-FCGR3A|IFNG,single_group,6.079619622231725
214,Factor4,hC62_NK-DUSP4,single_group,1.0831986629680324
215,Factor4,hC63_NK-CD160,single_group,0.020570213021897654
216,Factor4,hC64_NK-CD160|IFNG,single_group,0.1985640064686156
217,Factor4,hC67_NK-IL7R,single_group,2.5787455858847785
218,Factor4,hC68_B-CD79B,single_group,0.04884460851100059
219,Factor4,hC69_B-CD55,single_group,0.9861798422001189
220,Factor4,hC70_B-GPR183,single_group,0.9816014328768441
221,Factor4,hC71_B-HSPA1A,single_group,2.339251250062724
222,Factor4,hC72_B-IGLC3,single_group,62.81132353299863
223,Factor4,hC74_B-MKI67,single_group,0.7002360182021383
224,Factor4,hC75_B-CD3E,single_group,14.098894791776873
225,Factor4,hC76_plasmaB-IGHA1,single_group,6.422371715000363
226,Factor4,hC77_plasmaB-IGHA1|IGLC2,single_group,25.609204455360725
227,Factor4,hC78_plasmaB-IGHG1,single_group,0.746108063641393
228,Factor5,CD3D-CD4+,single_group,4.405029119530857
229,Factor5,CD45-,single_group,15.714874749772834
230,Factor5,hC04_CD8_Temra-CX3CR1|RGS1,single_group,1.368539321192641
231,Factor5,hC05_CD8_Tem-GZMK,single_group,7.1467998415946195
232,Factor5,hC06_CD8_Tem-CXCR5,single_group,4.094371853290413
233,Factor5,hC07_CD8_IEL-CD160,single_group,5.297180922856337
234,Factor5,hC08_CD8_Trm-CD6,single_group,1.9936525292138518
235,Factor5,hC10_CD8_Trm-KLRB1,single_group,1.5807004515490441
236,Factor5,hC11_CD8_Tex-LAYN,single_group,5.4728673110690735
237,Factor5,hC12_CD8-HSPA1A,single_group,0.8421181555588908
238,Factor5,hC14_CD8_MAIT-SLC4A10,single_group,0.6774727088051491
239,Factor5,hC15_CD4_Tn-CCR7,single_group,1.7250723878239338
240,Factor5,hC16_CD4_Tcm-ANXA1,single_group,0.2131412138055122
241,Factor5,hC18_CD4_Temra-GNLY|RGS1,single_group,0.14017130717286497
242,Factor5,hC19_CD4_Tn-TCF7,single_group,0.6490742107880698
243,Factor5,hC20_CD4_Tfh-CXCR5,single_group,4.5508817148233405
244,Factor5,hC21_CD4_Tem-GZMK,single_group,1.701098498275111
245,Factor5,hC22_CD4_Trm-CXCR6,single_group,1.4448317065257732
246,Factor5,hC24_CD4_Th1-CXCL13,single_group,10.760435885937259
247,Factor5,hC26_CD4_Tfr-IL10,single_group,7.357595412514273
248,Factor5,hC27_CD4_Treg-CTLA4,single_group,15.292071148279884
249,Factor5,hC28_CD4_HSPA1A,single_group,8.650050914731743
250,Factor5,hC29_CD4_MKI67,single_group,3.1519088802221873
251,Factor5,hC30_NKT-FCGR3A,single_group,1.9664811745475075
252,Factor5,hC32_gdT-TRDV2,single_group,0.709182387901075
253,Factor5,hC35_cDC1-CLEC9A,single_group,9.419631579303744
254,Factor5,hC37_cDC2-CD1C,single_group,2.1804079854067626
255,Factor5,hC38_cDC2-C1QC,single_group,23.466060504467436
256,Factor5,hC39_cDC2-FCN1,single_group,1.5447606922797674
257,Factor5,hC40_cDC2-TIMP1,single_group,3.8394324047343553
258,Factor5,hC41_cDC2-CD3E,single_group,5.821348465353148
259,Factor5,hC42_pDC-LILRA4,single_group,3.0986510499281916
260,Factor5,hC46_Mono-CD14|FCGR3A,single_group,0.2303310303757522
261,Factor5,hC48_Mph-FCN1,single_group,3.250474836439221
262,Factor5,hC49_Mph-NLRP3,single_group,4.104716343853177
263,Factor5,hC50_Mph-IL1B,single_group,22.39675050077953
264,Factor5,hC53_Mph-C1QC,single_group,6.621862112215037
265,Factor5,hC54_Mph-SPP1,single_group,0.023330959846901145
266,Factor5,hC56_Mph-CD3E,single_group,8.727553207383465
267,Factor5,hC57_Mast-CPA3,single_group,16.30496815337147
268,Factor5,hC58_ILC3-KIT,single_group,7.458150873179569
269,Factor5,hC59_NK-FCGR3A,single_group,13.315132830225362
270,Factor5,hC61_NK-FCGR3A|IFNG,single_group,1.0700842026743818
271,Factor5,hC62_NK-DUSP4,single_group,0.3698366683717702
272,Factor5,hC63_NK-CD160,single_group,0.22706445649190998
273,Factor5,hC64_NK-CD160|IFNG,single_group,0.08470046820951982
274,Factor5,hC67_NK-IL7R,single_group,0.7596348669890118
275,Factor5,hC68_B-CD79B,single_group,1.836841578297177
276,Factor5,hC69_B-CD55,single_group,0.030611091197674245
277,Factor5,hC70_B-GPR183,single_group,1.2969841534411275
278,Factor5,hC71_B-HSPA1A,single_group,2.6582448386543667
279,Factor5,hC72_B-IGLC3,single_group,0.8811339376795679
280,Factor5,hC74_B-MKI67,single_group,37.887894028089384
281,Factor5,hC75_B-CD3E,single_group,2.508364784479644
282,Factor5,hC76_plasmaB-IGHA1,single_group,6.581196851358529
283,Factor5,hC77_plasmaB-IGHA1|IGLC2,single_group,0.8307068274860274
284,Factor5,hC78_plasmaB-IGHG1,single_group,6.962308281218387
285,Factor6,CD3D-CD4+,single_group,11.446440093897415
286,Factor6,CD45-,single_group,7.373002905440462
287,Factor6,hC04_CD8_Temra-CX3CR1|RGS1,single_group,1.5760529684745173
288,Factor6,hC05_CD8_Tem-GZMK,single_group,9.324659622211918
289,Factor6,hC06_CD8_Tem-CXCR5,single_group,2.1179113700693475
290,Factor6,hC07_CD8_IEL-CD160,single_group,0.10809248509325853
291,Factor6,hC08_CD8_Trm-CD6,single_group,1.8991643528669777
292,Factor6,hC10_CD8_Trm-KLRB1,single_group,3.3907682960715
