,Ucell_time,UCell_Mem_big,UCell_Mem_ori,Ucell_Mem,fast_Ucell_time,fast_UCell_Mem_big,fast_UCell_Mem_ori,fast_Ucell_Mem,AUcell_time,AUCell_Mem_big,AUCell_Mem_ori,AUcell_Mem,tl_time,tl_Mem_big,tl_Mem_ori,tl_Mem,fast_tl_time,fast_tl_Mem_big,fast_tl_Mem_ori,fast_tl_Mem
100k,22.3,44.41,1.23,43.18,5.91,34.55,1.89,32.66,29.89,24.56,1.16,23.4,136.34,6.18,1.41,4.77,6.76,26.72,2.38,24.34
200k,58.63,55.68,1.21,54.47,10.91,49.43,1.93,47.5,58.96,30.48,1.11,29.37,267.88,10.54,1.39,9.15,12.92,34.77,2.39,32.38
371.223K,164.63,73.49,1.91,71.58,20,66.13,1.91,64.22,110.2,39.94,1.12,38.82,493.03,32.39,15.38,17.01,23.79,43.35,2.19,41.16
