,bioplanet_1141_Diurnally regulated genes with circadian orthologs,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",bioplanet_1168_Post-elongation processing of intronless pre-mRNA,bioplanet_1287_eIF4E and p70 S6 kinase regulation,bioplanet_12_Granzyme A-mediated apoptosis pathway,bioplanet_1328_T cell receptor/Ras pathway,bioplanet_1361_Interleukin-2/STAT5 pathway,bioplanet_1404_Cap-dependent translation initiation,bioplanet_1495_CHL1 interactions,bioplanet_1504_Cleavage of growing transcript in the termination region,bioplanet_1510_Cross-presentation of particulate exogenous antigens (phagosomes),bioplanet_1529_Endosomal/vacuolar pathway,bioplanet_1614_Activation of the AP-1 family of transcription factors,bioplanet_166_eIF2 regulation,bioplanet_167_Eukaryotic protein translation,bioplanet_1698_Translation factors,bioplanet_1764_Arachidonate epoxygenase/epoxide hydrolase pathway,bioplanet_243_Internal ribosome entry pathway,bioplanet_298_Type 1 diabetes mellitus,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell,bioplanet_300_Asthma,bioplanet_301_Autoimmune thyroid disease,bioplanet_303_Allograft rejection,bioplanet_304_Graft-versus-host disease,bioplanet_322_B lymphocyte cell surface molecules,bioplanet_324_CTL mediated immune response against target cells,bioplanet_329_T helper cell surface molecules,bioplanet_333_Salmonella infection,bioplanet_464_Antigen processing and presentation,bioplanet_474_Intestinal immune network for IgA production,bioplanet_49_4-1BB-dependent immune response,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation,bioplanet_537_Inhibitor of DNA binding (ID) signaling pathway,bioplanet_564_PD-1 signaling,bioplanet_611_Interferon signaling,bioplanet_640_Alpha-4 beta-7 integrin signaling,bioplanet_669_TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),bioplanet_675_Type II interferon signaling (interferon-gamma),bioplanet_686_Interferon alpha/beta signaling,bioplanet_776_Prostaglandin biosynthesis and regulation,bioplanet_78_Beta-arrestins in GPCR desensitization,bioplanet_83_MAP kinase pathway regulation through dual specificity phosphatases,bioplanet_87_Corticosteroids and cardioprotection,bioplanet_898_Generation of second messenger molecules,bioplanet_8_PI3K subunit p85 role in regulation of actin organization and cell migration,bioplanet_901_Costimulation by the CD28 family,bioplanet_913_eIF4E release,bioplanet_921_CD28 co-stimulation,bioplanet_924_TRAF6-mediated induction of TAK1 complex,bioplanet_926_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,bioplanet_98_Activation of PKC through G-protein coupled receptors,disease
GSM1509620,0.2502396551702448,-0.2193647280670565,0.5310030143875777,0.0145786217791322,0.3112742905410213,0.5260033634130628,-0.063542384137748,-0.285490054260415,-0.63487889064036,0.4953157060699327,0.4176319672356312,0.5560241586207358,0.0178239455720672,0.0201702605064102,-0.1833804790851352,0.1151332077503778,-0.0667622593695796,-0.042201484322682,-0.2112184994099219,-0.1540296113013986,-0.0924200425941604,-0.2842228603468427,-0.0962625700884325,-0.1673748773791984,-0.1601066722904867,0.41546547771941,0.0654687792709645,0.6592675800767634,0.1306682970102289,-0.1959770674503509,0.042715165994025,-0.2198554645608789,-0.0995619035301429,-0.1161940219297784,0.0488834547559989,-0.2473874704737371,-0.1060132907182566,0.0190170594796262,-0.0700273900010317,0.1316206799059398,0.1964705737952693,0.2032743732022412,0.3242698745305166,-0.0969678106766365,0.4681341326506514,0.2196353798061366,0.3856146324738136,0.2601008296627054,0.1393092126926501,0.0966740884811983,0.3373873990211449,1
GSM1509621,-0.3076825868122205,-0.5193139258836574,-0.3364609324990634,-0.3754193458409069,-0.5925744639165592,-0.4989666843423933,-0.1700121640261617,-0.4355577693925312,0.4325330171875571,-0.4246040379046082,-0.106373683980607,0.5256799222593203,0.0350203384320129,-0.0272852262791517,-0.5647271657669912,-0.5197694668760706,0.1758880888294444,-0.6976710590944833,-0.1653912104286009,-0.3517022864621013,0.0465795099202742,0.2409052077089499,-0.221128483541415,-0.3922935613482464,-0.3903261606063911,-0.4811725612923366,-0.491738518565295,-0.4586368114264907,-0.4365180885917171,0.1031864680369585,-0.3198135336833599,-0.3228783315393246,-0.0277742718541642,-0.1478343797303273,0.0433517068520303,0.0538736143673002,-0.2226668921677323,0.1259176548997212,0.4408277709640567,-0.1672430846976774,0.0529452357090928,0.1063102709948363,-0.4236562253406604,-0.0822100122326812,-0.1428035975741136,-0.3402249932774469,-0.687858806051893,-0.3577128373494597,-0.3914248168740014,-0.2312681756455088,-0.579930989643196,1
GSM1509622,-0.0016433466249899,0.6154481595807721,0.4755206926536059,0.0742560543488926,0.2743046168024458,0.1065543159643495,-0.1914439472309126,0.6150651472856138,0.3458767603603619,0.3137347732513397,-0.293050031032013,-0.7858742318412228,0.1185853693791777,0.5581483026544487,0.6817177210807629,0.6513507752561332,0.6778472501175392,0.470917334448224,-0.1154584972776506,0.2951730061027042,0.1663909335274305,-0.2260852250635619,-0.1591696219670301,-0.127971572964098,-0.514336680556432,-0.4438560244420442,0.123500081751197,0.4971357395302065,0.1755594045784543,0.1710092851069113,-0.3353832533862801,0.2210488694988614,0.1393107465599687,0.0678294923202743,-0.2161044436971125,-0.0990520979033966,-0.2265104337729447,-0.3198155914180744,-0.4543015801740889,0.1933182605078989,0.3817110218072332,0.070756319854807,-0.4158268854721476,-0.1381348473361697,0.2925189939294821,0.2503629534764786,0.7958782791041834,0.0965925208141855,0.1350017822142708,0.241686393473388,-0.5701301416060198,1
GSM1509623,0.0726042888874951,-0.5803849934749484,-0.4435727133618066,0.0912690489341281,-0.4478362260239812,0.1481908921007899,-0.1344778393143969,-0.5884297193583772,-0.3848452011202082,-0.4027052140366454,0.6323537349571671,0.1692382125640768,0.4864494829689025,-0.1944178162260117,-0.1540609673950046,-0.4599554011945707,-0.060242324378705,0.1520417017709927,0.0297794836115265,-0.0766237741718208,-0.2474469319805644,-0.1418682579762175,-0.2423935342128301,-0.2668826832567544,0.116863942148144,-0.5021436596925468,-0.5512009275163223,0.2522692865655066,-0.2006292946138046,-0.0753881465204703,0.2121478879494203,-0.7058173767294497,0.2824692743505043,-0.5060596210813353,0.2192743809459425,-0.438993208571232,0.2795912327411726,0.5055657478751673,0.4468772487186028,-0.1787886141195893,0.234459658380072,0.181611562197759,0.056275775376811,-0.4654565694470617,0.3263153327819267,-0.2697911266516046,-0.4355960930693695,-0.0461860845466524,0.0531895187018168,0.040656614413052,0.118906168093708,1
GSM1509624,0.180778087767155,-0.4959877922562677,-0.3470805324599067,0.3699866284784871,-0.4871907663416487,0.3776737832534479,-0.140966371795482,-0.5345502898995502,-0.2282327267433389,-0.4418999416337063,0.6459053947559392,0.3616214015230364,0.2022756881741715,-0.0940794158975042,0.1376807212745069,-0.3553119004912968,-0.4536694984845519,0.5768851344316162,-0.3757812863845785,0.0609362858350921,-0.2839728338179842,-0.3219632609265929,-0.46280169941811,-0.5372610070811602,-0.2331208294198873,-0.7256843826536763,-0.6113765208403185,0.2375528896388654,-0.4305396678326009,-0.0720345736511471,0.0240943351842659,-0.6368643547587798,-0.076734212171978,-0.4473946515781654,0.1754844271214542,-0.1126515998882552,0.4844696152673899,0.2662235451005253,0.3942302164036683,-0.1614625824899092,0.1108934952066275,0.2520170095445108,-0.0303140237382665,-0.3275474670623639,0.3964156134790736,-0.2888641608538191,-0.4603708728933472,-0.0880737992788528,0.2288692595062523,0.2664998132352304,0.3600306245394969,1
GSM1509625,-0.1104247577371965,0.3946076631174941,0.1989851508919062,-0.3075975644942262,-0.0311982767876041,-0.3412390872361323,-0.1625371252011648,0.4185126020794153,-0.1071777881253847,0.2999332269090695,-0.6319840359327832,0.5399514329300181,-0.5529623473826731,-0.4625255433246548,-0.0531443758510529,0.0193448507367589,0.4198751201520093,-0.2664784940372007,0.3829532767184297,-0.4362980627388316,0.4099051716444017,0.403706862189867,0.4102966145191107,0.4778185722263214,0.1185435129568553,0.0792099094154122,0.1653682390314795,-0.285768399255702,0.2848252941351595,0.284379829288981,-0.2726320721234397,0.58834323663062,0.4670547017892742,0.4418446788661052,0.0879692940211401,0.346710138763078,-0.2703435550949662,-0.2747205260350102,0.1274869772098377,-0.204331014993978,-0.4370698527962904,0.1407035057603067,-0.3399443644583257,0.4495632973503095,-0.5040959931685618,0.0359996079132347,-0.3059428256055883,-0.2788811422638885,0.203290554156193,-0.0494713080917663,-0.7000443558102538,1
GSM1509626,0.2582563686115782,0.0093055126935354,0.4515797273974489,0.0540372759478097,-0.1081783784290238,0.3937378636932162,-0.0658999311918311,-0.0937434451156652,-0.4069894626692084,0.3828007293910305,0.3549146795010358,0.0891587854507693,0.0484773782771951,0.3139203318900798,0.365900393317858,0.1452960389846045,0.3815219048979584,0.5394004123626455,-0.2063861321177317,-0.1668755369278457,-0.4032913849070081,-0.3461693604244682,-0.4355070039908429,-0.5160970609406219,-0.5741241458314565,-0.4744720501275102,-0.5035247694783718,0.2960069340932753,-0.4363022800957058,-0.3395240190466008,0.1104034149209491,-0.6491248402314312,-0.2176317891200476,-0.3633302300518742,0.1304274057858232,-0.0790558033215301,-0.3045031114435593,0.3575043093058762,0.2673094185927649,0.2654230921201983,-0.1561278830597531,-0.2309968817001376,0.3006108879517689,-0.4122055296039261,-0.0318623871874484,-0.2265209931949952,0.5261363473398841,-0.153243946589588,0.0422984487655544,0.2512012475056033,0.0855664635906801,1
GSM1509627,-0.3450103439414362,-0.3557895469814234,-0.542168655280909,-0.3293388008985212,-0.3873476795046995,-0.5369237613066706,-0.2375157269984925,-0.412745096800587,0.5689020550714419,-0.5297903915932991,-0.2874055305577973,0.6533373549360573,-0.2359152178301375,-0.2779567481531435,-0.5613195155862769,-0.3968124428507088,-0.2472922327647935,-0.6107787814951817,0.1486083063468877,-0.3691625032248832,-0.0839136591856537,0.2880812651639836,0.1774100894640807,0.1960185126080106,-0.1917947830263118,0.0204054880712761,-0.2155576432095618,-0.3981740379930339,0.0019234856164441,-0.0295676423445313,-0.2334913921678956,-0.2506529792331528,-0.4708463705587759,-0.2836976873926591,0.0978657533129623,-0.3495140658200375,-0.1977551226775403,0.1036704009436844,0.3839414446195522,0.0143155814705984,0.0321398137048769,-0.0333506211397155,-0.3403576394067089,-0.1520195041417257,-0.1757504508646679,-0.3516662737487012,-0.5895495635087737,-0.3850661039852833,-0.0215339878422047,-0.0890351432546489,-0.5233941140029,1
GSM1509628,-0.3424940245868574,-0.1396175323786095,-0.2939007718931226,-0.4909786674025628,-0.4273432096661375,-0.5781441147391859,-0.1546419556671852,-0.1491494556040241,0.5207201400656228,-0.2723552286559307,-0.2146950413229714,0.2090432503276144,-0.2380376655047979,-0.3157330868049358,-0.4522452024363298,-0.3619391403679511,0.4067497115570413,-0.6567482203103066,0.0425415217943645,-0.4480674617728613,-0.0176762165356011,0.3721102862163095,0.0283308223437928,-0.0645612807279307,0.1545211035114889,0.0501963618387328,0.0445635516477438,-0.6754867223498746,-0.2744397699951341,-0.0233868112655118,-0.377732939185857,-0.0430793428869777,-0.144386662587822,-0.0282972340673283,0.0122326341920017,-0.1169122802603148,-0.428279350776805,0.0871234445839874,0.3320121269984992,0.0221985360551016,-0.2587530687618518,0.0286138657113968,-0.1018901802766817,-0.0762162005899844,-0.393159691013564,-0.3668857008222391,-0.6769101346334908,-0.4450957160743802,-0.3468186471344202,-0.4048465286087881,-0.6132202940151181,1
GSM1509629,0.1238130067414765,0.3009832513935668,0.200438393291348,0.0350883522691727,0.3884130444517735,-0.0108555352178461,0.4275373572439203,0.2425947780410273,-0.151791700540892,0.386087991540797,-0.088923609502533,0.0128978477914771,-0.1257267920174548,0.3887015879820459,0.5524598497529547,0.4256642183880217,0.742278770983862,0.572667324147339,0.16873948497129,0.075628522063265,0.1250513623287821,-0.1472924607010923,0.2462918861981428,0.3853374953582477,0.3880063455228424,0.3550792047045158,0.155947066665276,-0.0059374048820761,0.4767609033257449,-0.0904278233156387,0.0491654087872867,0.4833984639561833,0.1808908890147159,0.2887661123210625,0.3395595420820692,-0.0041678680706015,-0.4066786980823438,0.3127045989506763,0.2678529278939375,-0.0850651436615082,-0.1490201467156284,-0.0589889427587516,0.1066959077476036,0.3306398341772464,-0.0858402254596988,0.3235359668795582,0.5065472309121483,0.3052175969501852,-0.1389604701337227,0.2700881113037562,-0.4307225824923082,1
