,bioplanet_1141_Diurnally regulated genes with circadian orthologs,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",bioplanet_1168_Post-elongation processing of intronless pre-mRNA,bioplanet_1287_eIF4E and p70 S6 kinase regulation,bioplanet_12_Granzyme A-mediated apoptosis pathway,bioplanet_1328_T cell receptor/Ras pathway,bioplanet_1361_Interleukin-2/STAT5 pathway,bioplanet_1404_Cap-dependent translation initiation,bioplanet_1495_CHL1 interactions,bioplanet_1504_Cleavage of growing transcript in the termination region,bioplanet_1510_Cross-presentation of particulate exogenous antigens (phagosomes),bioplanet_1529_Endosomal/vacuolar pathway,bioplanet_1614_Activation of the AP-1 family of transcription factors,bioplanet_166_eIF2 regulation,bioplanet_167_Eukaryotic protein translation,bioplanet_1698_Translation factors,bioplanet_1764_Arachidonate epoxygenase/epoxide hydrolase pathway,bioplanet_243_Internal ribosome entry pathway,bioplanet_298_Type 1 diabetes mellitus,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell,bioplanet_300_Asthma,bioplanet_301_Autoimmune thyroid disease,bioplanet_303_Allograft rejection,bioplanet_304_Graft-versus-host disease,bioplanet_322_B lymphocyte cell surface molecules,bioplanet_324_CTL mediated immune response against target cells,bioplanet_329_T helper cell surface molecules,bioplanet_333_Salmonella infection,bioplanet_464_Antigen processing and presentation,bioplanet_474_Intestinal immune network for IgA production,bioplanet_49_4-1BB-dependent immune response,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation,bioplanet_537_Inhibitor of DNA binding (ID) signaling pathway,bioplanet_564_PD-1 signaling,bioplanet_611_Interferon signaling,bioplanet_640_Alpha-4 beta-7 integrin signaling,bioplanet_669_TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),bioplanet_675_Type II interferon signaling (interferon-gamma),bioplanet_686_Interferon alpha/beta signaling,bioplanet_776_Prostaglandin biosynthesis and regulation,bioplanet_78_Beta-arrestins in GPCR desensitization,bioplanet_83_MAP kinase pathway regulation through dual specificity phosphatases,bioplanet_87_Corticosteroids and cardioprotection,bioplanet_898_Generation of second messenger molecules,bioplanet_8_PI3K subunit p85 role in regulation of actin organization and cell migration,bioplanet_901_Costimulation by the CD28 family,bioplanet_913_eIF4E release,bioplanet_921_CD28 co-stimulation,bioplanet_924_TRAF6-mediated induction of TAK1 complex,bioplanet_926_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,bioplanet_98_Activation of PKC through G-protein coupled receptors,disease
GSM2350873,0.1282297290136287,-0.3658585503429453,-0.4540344633055773,0.2990552797772057,-0.1147153859183011,-0.1243951162479062,0.1575023799229438,-0.3250251345571207,-0.2946930501757009,-0.3731554831895108,0.424026628133181,-0.65295534716525,-0.0068398922429803,-0.1105882947313534,0.1349121770506958,-0.1080670891219518,-0.5112345726679637,0.5007533509766444,-0.2566221640261894,-0.1408929514996875,0.0547065747866639,-0.2333172292173353,-0.2181189185940645,-0.023576479977667,-0.2003050672804494,-0.4930976442833149,-0.5736410981284259,0.3672659090540074,-0.2438565393778269,0.2254162153223242,0.1896274502513082,-0.4832722810986316,-0.0451245531183639,-0.2059194449661876,-0.1207468336982039,0.0100033984358001,0.2409634763784165,-0.45929940298128,-0.3236322819588814,-0.2832868160771626,0.3822005651652141,0.0941477741646939,0.336860511974163,-0.0739034330676044,0.3922231391155265,0.1956917202098329,0.1966152484417245,0.3970618370191424,0.2482196712130102,-0.3095234023083538,0.5144294586102085,0
GSM2350874,0.3628619532890503,0.5863905756956393,0.658845670746561,0.2519992650440033,0.6075829886136799,0.1471109156091027,0.0807120225893228,0.6018741439622877,-0.201679392766067,0.6577817250565579,-0.2220687567208881,-0.2222043682150766,0.2024672511989962,0.5029548543770326,0.5318362975688018,0.5767157964515719,0.2321436553276872,0.4320331388425126,0.1157830857866071,0.0439106262797685,0.3379993563436511,0.1685993070323843,0.18110493235977,0.4230993401279527,0.3190006946180633,0.3836621727980421,0.5981331542439338,0.2869013181327384,0.4614243338781699,0.2649731304588433,0.2261374268251761,0.3772233259108121,0.3215665758964183,0.2967640489467101,-0.1053487950902855,0.2453910081401854,0.478567345466913,-0.4271898579486212,-0.6354268279259123,0.0863355873493174,-0.2661804736326574,0.1419991612489754,0.215134957325705,0.3032165822526808,0.2159947132541439,0.2722151244818067,0.235908188413291,0.1515469887199808,0.2377207890230606,-0.0836884048980291,0.3519805585505128,0
GSM2350875,0.0225674674733066,0.0590372400421826,-0.3247881646767023,0.0113597170881202,-0.0542864808850969,-0.1233411591299143,0.1821779597199178,0.0493407273890744,-0.2544590479120644,-0.3872166242069987,-0.3190115129802522,-0.7175272069258958,-0.4555436112345343,-0.371265826325422,-0.0042175438807851,-0.0135583217828101,-0.0692064473641135,0.3999365253663644,-0.3473889658508298,-0.2614445752413294,0.2614796563503209,-0.1664951589678389,-0.2501408841667908,-0.2246231150151903,-0.2845270414886794,-0.3250769164234731,0.3170465152511217,-0.3781989143384162,-0.3098692828661218,0.2383698124417492,-0.2155454588457981,0.2689013576428588,0.1821842352500492,0.103321413221954,-0.42164220574041,0.3664920659523176,0.2146362645108191,-0.6254479112301047,-0.6549026927361088,-0.3069482132526165,0.2040151445672374,-0.1925137408956648,0.3570817676114305,0.3437151776158693,-0.3209619494549034,0.2296523590802672,0.4040542808034342,0.0997721963253977,-0.3219457421538688,-0.6107646467757357,0.3312450422689535,0
GSM2350876,-0.1783942547310937,-0.1213938895691168,-0.4608833275792727,-0.0201278755524093,0.1119188971530509,-0.4039831692958711,0.115564707777761,-0.0897425653820205,-0.0631486497682877,-0.5236188321355961,-0.4901838839321106,-0.4814684324389318,-0.4339703757682664,-0.2163550036913264,0.0993219477610162,-0.048502285830743,-0.4260162374922537,0.4141536089431499,-0.0563617082204724,-0.621381951290563,0.3027977967694866,-0.0073802279529516,-0.008439650197454,0.1686438404179981,-0.3164245059015734,-0.1334858907231619,-0.1561924270207901,-0.2914393017956481,0.025855332267386,0.2549327967294875,-0.3037495971494883,0.1985226564436895,0.4896758743052214,0.2134375672567026,-0.3197736812125364,0.3477753390680835,0.0572826751815612,-0.4762117371127718,-0.5187024161993036,-0.2530400557580116,0.1004029492339201,-0.2341403343901408,0.2420589897959491,0.4051471810584774,-0.3223104952483315,0.1278114281822801,0.2648750428036903,-0.0217067231487743,-0.3821935826062751,-0.5432578174910576,0.1042844829311075,0
GSM2350877,0.0920816359359707,0.4064531102071943,0.0521048300279711,0.056547277539445,-0.007849039456925,-0.3015208224311654,-0.4899878277462164,0.3863455387879067,0.2407393388967077,0.1830610354769946,-0.3148944354049671,-0.5392964307587846,-0.0640574274719224,-0.0383071419833943,-0.160673834946013,-0.0313853498241618,-0.3840349923753645,-0.4749127822022315,0.270283947356613,-0.0917637655427403,0.3766374919867695,0.2303167198920772,0.2862704922391384,0.3389901541955457,-0.1552455282143418,-0.4256586152306045,-0.4141856618815227,0.1349755616535219,0.1838181784137048,0.2394330581710403,-0.1240337833052026,-0.0633587057895215,0.2252651243155155,0.1162035531565173,-0.3936164537491055,-0.456562154516723,-0.1862235922766612,-0.423482339828734,-0.6110106924847072,0.1282071828696088,0.0352789257698566,0.0294159423626508,-0.1522297868724671,0.2163210276230703,-0.0720903431938709,0.1869985756432654,-0.0805795529206975,0.1460293394406131,0.2460935309974919,-0.0249852424084169,-0.2722036257653801,0
GSM2350878,0.0853719794807552,0.5557587639833218,0.2844166682163682,-0.0888518090373857,0.2834118489548003,-0.4839875107943182,-0.3694583804133227,0.4448415885737416,0.0718883130109311,0.1992242695555341,0.4042962250250491,-0.2653352234199686,-0.0058081218313332,-0.0122613984940601,0.1631537042348334,0.2812820204822303,-0.5240030143627594,-0.229037620529294,0.1459478573075299,-0.2528349093889546,0.1788943931580931,0.1435302270949366,0.1278005460256744,0.2414582014185833,0.0092934447411532,-0.1815886744149005,0.0812330787712805,0.3839408574824823,0.2285765900816428,0.0660659314980451,-0.3770395702617648,-0.1553622836328718,0.0635568901678252,-0.3310746730678783,-0.3453540768652846,-0.1633268920890276,0.1091184617248428,-0.2899075072397294,-0.6148761725836523,0.2520531655566815,0.0953483701769214,0.0465042357921647,-0.1070630351015111,-0.3305849496758995,0.195679047313624,-0.0257263761209621,-0.0973324931024065,0.0266219252753864,-0.0743887590541028,-0.2740198104072568,-0.2053454646009094,0
GSM2350879,0.2025065666285769,0.6645434976901767,0.51386275924503,0.4037552871008737,0.50083913583041,0.3730443168164889,0.1466893110132649,0.6364033650206234,-0.50175409476242,0.5603089131891846,0.2036148706569135,0.0803106557394489,0.2302988644115716,0.5334112652671763,0.4682872476459157,0.4285883547773209,-0.64787378828977,0.4345501259619696,-0.2101101872060899,0.4330432129054809,-0.1220648213123801,0.049488177703154,-0.1234224884799795,0.2071189138151198,-0.2390778587756924,0.0313362794724171,0.141430087385229,0.2389073938539038,0.2640992556002744,0.0389954080741554,0.3089590793182714,0.575965309603762,-0.2014963063015252,0.3759493950443575,-0.0729283715212919,-0.1912983064590081,0.4364206685446784,-0.332225649577073,-0.4984957458670641,-0.0825774091479949,0.0509020520749671,0.102178862667275,0.4972517717409962,0.3792232412414436,0.3480934351148419,0.3570901607472907,0.534443858059038,0.3370260222844453,0.2902515986553508,0.0330650635924317,0.7074130900243172,0
GSM2350880,-0.2367592367498894,0.4650300003558673,-0.0590945781054032,-0.3784097440623756,-0.3646026029585811,-0.5086126394235878,-0.5364184644168671,0.5356974443433077,-0.0377703374214627,-0.1358849018021977,-0.8465406884969359,-0.7909385266179911,-0.323321985049579,-0.3605731892057208,-0.2918946024250636,0.0072343640714372,-0.0788005888835952,-0.3742771772016036,-0.4382773064069354,-0.4703254463866901,-0.3278937649185742,-0.475507812548989,-0.5142969905102464,-0.5840540740218441,-0.5693336968092897,-0.4816719427765823,-0.4030081824517981,-0.689924164218374,-0.5004882024948568,-0.3242372044736132,-0.4737295190889146,-0.0520597354511755,-0.2893258947824882,-0.4470718062720928,-0.5554749003867614,-0.5122410125682155,-0.2632575948406708,-0.6410755477113496,-0.7248119978915605,-0.4476976382970693,-0.23479477914788,-0.3289042967421999,-0.4572022792836729,-0.3031795502606997,-0.6999296153594338,-0.3593242076239984,0.2320632794785016,-0.3590209039255618,-0.2601771486664754,-0.3457838791070025,-0.526060205393033,0
GSM2350881,-0.1780346776591664,-0.4808700034407321,-0.4434802891301059,0.0250365533922058,-0.4620761099159991,-0.0783774544491223,0.0942594990346455,-0.5063606495884431,0.1474231621197065,-0.4626868408010102,-0.1899510235053577,-0.6679679639391781,-0.1816928988761455,-0.5750571126330388,-0.4388022765921576,-0.4835931073370823,-0.4337621147595083,-0.1317592480951552,-0.6011296282877807,-0.1977813938882378,-0.4298893568112657,-0.5169329840996055,-0.5809187288247359,-0.599162706392023,-0.5996756539347564,-0.5696082872381852,-0.2459081465527368,-0.1724879317157278,-0.5656532437854146,-0.1462427842752621,-0.2509552586501099,-0.2816965376993592,0.1527975197060761,-0.4036343141213876,-0.5207911545359605,0.4323960171658834,0.3596592153547984,-0.6308862205035917,-0.6225182443569511,-0.1195597054408895,0.3604150881606109,-0.2150733013456126,0.4245011922368199,-0.1895629374973936,-0.1847915380981464,-0.1191821713048577,-0.3841021066102683,0.1729157546956246,-0.4148708534178013,-0.4970140404571664,0.2748779289546434,0
GSM2350882,0.02114047885111,-0.3505618637856639,-0.4257407140795188,0.1516192264954594,-0.2027596478931596,-0.3804468855587645,0.2737644468867344,-0.4657940502208228,-0.4697757133496803,-0.4369483217987331,-0.1532359995687889,-0.6867809065648971,-0.4469912345094244,-0.5146855877598938,-0.3710343636533575,-0.3451535738905163,0.039241650321004,0.2040338322689067,-0.4244385807553285,-0.1015977713920121,-0.2152354879248129,-0.3056189282034038,-0.399739158195667,-0.1885661513431029,-0.1496076986860731,-0.383334108264562,-0.4137395299154577,0.0056147644864037,-0.2966805629660516,0.1347506074617631,-0.1923137835272367,-0.2588808304240881,-0.1092536370233049,-0.3814277975724442,-0.3962577213555199,0.2674104847847379,-0.0828964688460016,-0.4944708461161594,-0.5277253222748348,-0.4462430033491787,0.3600364765821134,-0.0474342670880271,0.4397918910171829,-0.1143485053397179,-0.0612348437178975,0.0393237423789398,0.3740251826365487,0.3307541485189,-0.3875097739947198,-0.636822174942452,0.303953456402028,0
