,GAVISH_3CA_MALIGNANT_METAPROGRAM_17_INTERFERON_MHC_II_1,GAVISH_3CA_MALIGNANT_METAPROGRAM_METAPROGRAM_6_HYPOXIA,GAVISH_3CA_METAPROGRAM_B_CELLS_INTERFERON,GAVISH_3CA_METAPROGRAM_B_CELLS_METABOLISM_MYC,GAVISH_3CA_METAPROGRAM_B_CELLS_MHC_II,GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_INTERFERON,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_HEV_1,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_INTERFERON,GAVISH_3CA_METAPROGRAM_EPITHELIAL_ALVEOLAR,GAVISH_3CA_METAPROGRAM_EPITHELIAL_INTERFERON_MHC,GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_1,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_INTERFERON,GAVISH_3CA_METAPROGRAM_MACROPHAGES_INTERFERON,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",bioplanet_1404_Cap-dependent translation initiation,bioplanet_1529_Endosomal/vacuolar pathway,bioplanet_1537_Folding of actin by CCT/TriC,bioplanet_1605_Nef-mediated downregulation of MHC class I complex cell surface expression,bioplanet_211_Eosinophils in the chemokine network of allergy,bioplanet_298_Type 1 diabetes mellitus,bioplanet_300_Asthma,bioplanet_301_Autoimmune thyroid disease,bioplanet_303_Allograft rejection,bioplanet_304_Graft-versus-host disease,bioplanet_321_Bystander B cell activation,bioplanet_322_B lymphocyte cell surface molecules,bioplanet_324_CTL mediated immune response against target cells,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation,bioplanet_564_PD-1 signaling,bioplanet_955_Glycolysis,group
GSM971957,0.330513104383232,0.4152835502129878,0.0885200096814563,0.4968743132846446,-0.0713762344436517,-0.1455588682481589,0.0580521940874186,0.1724247416028182,-0.0305244826340819,0.046994013321731,-0.3247499930401148,0.2162964835866242,0.2162337831342771,0.5709199587842315,0.5614933288327592,0.555836693985448,0.6575689231441663,0.193975023423768,0.1717705648507584,0.3443817607833446,-0.2188296989549041,0.2407130797557525,0.3031582411883173,0.379188355474102,0.0781529858896359,0.3237743680191213,0.164272375485727,-0.0573663054874805,0.1145698603902564,0.1941799166910381,0
GSM971958,0.1660729064346316,-0.0872769631307214,0.2761417926455776,0.3059465942476605,0.1262116832927365,0.2627858308985342,0.5553211552486432,0.2714203379161205,-0.0897998115089385,0.4769438720897623,-0.1234709069239888,0.1100235060763609,0.1529242600127026,0.0355847245030215,-0.0226139563382196,0.0356873128662024,0.5016491835646357,0.2383523184559436,-0.1470475216009867,-0.1284385365039795,0.0935750372975779,-0.2775149775121988,-0.1352585050363419,-0.1284728273147003,-0.1947400983525093,-0.1094247613857766,-0.0230708730228381,0.0876441052170962,0.0145481885381458,-0.5390509005417427,0
GSM971959,-0.5678326579498174,0.3711320919364004,-0.3813007016915337,0.5118614950671445,-0.332202307926933,-0.2528017013039739,-0.4481170785183367,-0.3930839215581644,-0.0985311687099659,-0.3958830613158796,-0.275093274909122,-0.4444828130570386,-0.4448618729285922,0.1407083079972684,0.1655309011234415,-0.9113149847098456,0.2540366768148978,-0.1977534752308789,-0.4729369621248506,-0.3561630938085445,-0.2433068444234478,-0.2821345308298203,-0.4583679598834297,-0.40704101695277,-0.4378462860386157,-0.4765259987941356,-0.6630596393467821,-0.6526756936253699,-0.5455668545634222,0.4041477296197989,0
GSM971960,-0.6198885576184452,-0.5241705564685313,-0.5791337806215534,0.1203434904443943,0.0618342803512145,-0.5616981167604854,-0.2135636719518107,-0.5977704517982496,-0.1796335466694159,-0.4646391479379896,-0.1785019933120985,-0.5984279863652089,-0.610530526176922,-0.2102770896698001,-0.2011619841379043,-0.5364463653612839,0.173763684423622,0.1659751813940423,0.1402707443638234,-0.1767049176819902,-0.0396329372651448,-0.221424536603019,-0.2005616215893917,-0.440906690598316,0.0069289628066585,-0.3340642706909663,0.0583907079668258,0.2031113623594277,0.2501278129304875,-0.0591516458308557,0
GSM971961,0.2951935657364475,0.5122782952472381,0.203993119635873,-0.5430144905220303,0.629356749268099,0.2460041015737926,0.543713757053037,0.2275600518786718,0.2008452072795475,0.4094131328307298,0.1133717158246822,0.174332296508708,0.0591077672019149,-0.2666582656371698,-0.3037236794143075,0.3494191486036127,-0.5507492993816219,0.4746377117308871,0.3090370871439543,0.2081977388964435,0.4698908822628767,0.3381513339538984,0.3470625535728326,0.4119229800507918,0.5481787818223431,0.698470903550927,0.3557989396663995,0.541545683850006,0.534619621746118,0.2238606692396347,0
GSM971962,0.5230250539150378,-0.0287794896455824,0.4255809760482795,0.0339301319960952,0.5539473785820809,0.4326803100896906,0.70834183874461,0.499265263880373,0.20952129065975,0.5280304473073295,-0.0319230098024851,0.506346990518386,0.4412389322048657,-0.26467035184445,-0.2720840792531068,0.1631861374191195,0.3319677255689064,0.3853418874129976,0.5988584474536567,0.3681509044481808,0.5797195945797552,0.2172205676361003,0.4955684616777037,0.4346798047312546,0.6490678581101351,0.6994522182729331,0.6005525466136487,0.6270753102822588,0.5350728416987974,-0.320211890950186,1
GSM971963,0.8013246834890502,-0.0619120655729669,0.8360834083076198,0.0042373399187711,0.7792574375143304,0.8085092549896344,0.519851597389987,0.8449647541017462,0.2683548230691742,0.493405150013202,0.0343321123498678,0.7786812080393153,0.8060570339474703,-0.1235762452492839,-0.3406003403532699,0.9097859327216644,-0.3179488523056659,0.4074571047313133,0.2864244134895582,0.7813808338890199,0.6723060424643402,0.6215422472196157,0.8445108913509485,0.8277836765639935,0.8753658643134137,0.8657811953862588,0.9306562964257936,0.9282156588605532,0.8557121412333795,-0.0075721807238587,1
GSM971964,-0.4349614138107705,-0.1217464382285479,-0.4587526878393841,0.3495035601862845,-0.0523644240245975,-0.451406533112011,-0.0625492049034081,-0.5036127776697522,-0.0391248333461896,-0.1272556106064597,0.01575387784984,-0.472053570863492,-0.453086414934445,0.1536694811769771,-0.0899554394596446,0.1900830056795017,0.5618473526546597,0.3932836905766692,0.2490707164525834,-0.0044283144447126,-0.0828474745953647,-0.261706383651913,0.0255284543418603,-0.1563982991392389,-0.4298591775594227,-0.1926720068284684,-0.2186787784205276,-0.3297455737662961,-0.1862015352800115,-0.086637871896896,0
GSM971965,-0.530991358177222,-0.2475336772166767,-0.535851594033055,-0.3143265450404005,0.0469958154290268,-0.4983356477789164,0.0270445226356337,-0.5528684512412253,0.1588774307019316,-0.0357836947979891,0.1747123223141984,-0.5396313276722107,-0.5750373220904913,-0.3015275503168553,-0.3691898927292029,-0.3027183055190099,-0.3915655646564107,0.5573736989375888,-0.5757781751738419,-0.2396421559668355,-0.2518903383762297,-0.3282932355564188,-0.4233895467056837,-0.3953801459180928,-0.6079506702311949,-0.6026610023936628,-0.5249067975639817,-0.1903180706044926,-0.3580727065416074,-0.225917705600451,0
GSM971967,-0.3230056715835445,0.4904963143092519,-0.2905173144628222,0.2745447647107197,-0.3284667607857312,-0.3644614123498715,-0.3242056514238298,-0.3180200526292548,-0.2511978349780408,-0.3557243354934235,0.1805215792422279,-0.4320201350312958,-0.4376550105311695,0.4326400090656167,0.4098184418112883,0.4895770812745903,-0.1806354686959204,0.2248194707873202,-0.5077093601737385,-0.2333580949215021,-0.531975019159686,-0.4332797854443839,-0.4722693005027164,-0.2980694653367985,-0.6233828462181609,-0.507092912083886,-0.46335209652055,-0.6502156926211209,-0.5822860746592375,0.3608095506577298,0
